Handle,Layer Name,Layer Type,Block name,Block rotation,No,Wtf,X,Y,Z
519,0,LWPOLYLINE,,,1,at,2009.3136,4179.6797,0.0000
519,0,LWPOLYLINE,,,2,at,2009.3136,4648.5100,0.0000
519,0,LWPOLYLINE,,,3,at,1851.5670,4843.9957,0.0000
519,0,LWPOLYLINE,,,4,at,1391.9866,4943.3320,0.0000
519,0,LWPOLYLINE,,,5,at,1246.5880,4919.1970,0.0000
519,0,LWPOLYLINE,,,6,at,883.3170,4700.5246,0.0000
519,0,LWPOLYLINE,,,7,at,794.0050,4583.5817,0.0000
519,0,LWPOLYLINE,,,8,at,737.4699,4383.5997,0.0000
519,0,LWPOLYLINE,,,9,at,620.4731,4252.7895,0.0000
519,0,LWPOLYLINE,,,10,at,0.0000,4000.0000,0.0000
518,0,LWPOLYLINE,,,1,at,2009.3136,7179.6797,0.0000
518,0,LWPOLYLINE,,,2,at,709.3561,7267.1206,0.0000
518,0,LWPOLYLINE,,,3,at,620.4731,7252.7895,0.0000
518,0,LWPOLYLINE,,,4,at,0.0000,7000.0000,0.0000
517,0,LWPOLYLINE,,,1,at,2009.3136,5179.6797,0.0000
517,0,LWPOLYLINE,,,2,at,1511.5849,5865.3369,0.0000
517,0,LWPOLYLINE,,,3,at,1246.5880,5919.1970,0.0000
517,0,LWPOLYLINE,,,4,at,883.3170,5700.5246,0.0000
517,0,LWPOLYLINE,,,5,at,794.0050,5583.5817,0.0000
517,0,LWPOLYLINE,,,6,at,737.4699,5383.5997,0.0000
517,0,LWPOLYLINE,,,7,at,620.4731,5252.7895,0.0000
517,0,LWPOLYLINE,,,8,at,0.0000,5000.0000,0.0000
516,0,LWPOLYLINE,,,1,at,0.0000,6000.0000,0.0000
516,0,LWPOLYLINE,,,2,at,620.4731,6252.7895,0.0000
516,0,LWPOLYLINE,,,3,at,737.4699,6383.5997,0.0000
516,0,LWPOLYLINE,,,4,at,794.0050,6583.5817,0.0000
516,0,LWPOLYLINE,,,5,at,1085.0302,6703.1979,0.0000
516,0,LWPOLYLINE,,,6,at,2009.3136,6179.6797,0.0000
41e,0,LINE,,,1,from,2009.3136,8179.6797,0.0000
41e,0,LINE,,,2,to,0.0000,8000.0000,0.0000
